Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
0030K00001PWjWsQAL,843345,4502875,0062x00000D7r9XAAR,0010K00001feCQ6QAM,46,41.0,Medical Expenses,7,1600,14.143,Fortnightly,Loan Paid,1235,63,36.0,1
0030K00001sDukgQAC,5161932,5227576,0062x00000DsD8XAAV,0010K0000242mNcQAI,45,43.0,Vehicle Expenses,7,2000,14.143,Fortnightly,Loan Paid,1830,2669,41.0,1
00328000019usrcAAA,924669,5228963,0062x00000DsF4DAAV,0012800001SDU4qAAH,44,43.0,Veterinary Expenses,8,2050,16.429,Fortnightly,Loan Paid,1699,788,42.0,1
00328000019usoJAAQ,838009,4458375,0062x00000D6txCAAR,0012800001SDU1MAAX,43,39.0,Furniture or Appliances,7,1500,14.0,Fortnightly,Loan Paid,2203,2522,35.0,1
00328000019usoJAAQ,986923,5771378,0062x00000E6pbqAAB,0012800001SDU1MAAX,43,41.0,Furniture or Appliances,8,2050,15.857,Fortnightly,Loan Paid,2203,41,39.0,1
00328000019ut8HAAQ,917544,5155521,0062x00000DrGx9AAF,0012800001SDULMAA5,43,39.0,Medical Expenses,8,2050,15.857,Fortnightly,Loan Paid,1333,275,35.0,1
00328000019usoJAAQ,893051,4912372,0062x00000DWNJcAAP,0012800001SDU1MAAX,43,40.0,Furniture or Appliances,5,1600,10.0,Fortnightly,Loan Paid,2203,3280,37.0,1
00328000019urd2AAA,859923,4642287,0062x00000DAihRAAT,0012800001SDTBIAA5,43,38.0,Child Expenses,8,2050,15.0,Fortnightly,Loan Paid,1155,1954,33.0,1
0030K00001PEPTqQAP,1003836,6119515,0062x00000EMeeaAAD,0010K00001exDWJQA2,42,40.0,Living Expenses,8,2050,15.714,Fortnightly,Loan Paid,1779,2662,38.0,1
0030K00001gsvZEQAY,947979,5555606,0062x00000E4IQcAAN,0010K00001us6epQAA,42,39.0,Home Maintenance & Repairs,8,2500,14.857,Fortnightly,Loan Paid,1166,760,36.0,1
00328000019uspXAAQ,933474,5344940,0062x00000DtlB7AAJ,0012800001SDU2aAAH,42,40.0,Travel Expenses,8,2050,15.429,Fortnightly,Loan Paid,361,2853,38.0,1
00328000019usqMAAQ,916157,5142455,0062x00000Dr2XtAAJ,0012800001SDU3aAAH,42,38.0,Travel Expenses,8,2050,16.143,Fortnightly,Loan Paid,393,1611,34.0,1
0030K00001PEPTqQAP,908960,5069349,0062x00000DZ3mhAAD,0010K00001exDWJQA2,42,39.0,Living Expenses,8,2050,15.714,Fortnightly,Loan Paid,1779,2377,36.0,1
0030K00001gsvZEQAY,884050,4833402,0062x00000DIQWOAA5,0010K00001us6epQAA,42,38.0,Home Maintenance & Repairs,8,2050,15.857,Fortnightly,Loan Paid,1166,1346,34.0,1
00328000019usqMAAQ,873372,4745002,0062x00000DGpHcAAL,0012800001SDU3aAAH,42,37.0,Life Event Expenses,7,1300,13.857,Fortnightly,Loan Paid,393,3961,32.0,1
0030K00001kPKprQAG,867748,4699668,0062x00000DG2QXAA1,0010K00001y2gvTQAQ,42,40.0,Vehicle Expenses,8,1300,15.0,Fortnightly,Loan Paid,1621,338,38.0,1
0032800000xWX9eAAG,1041672,6843247,0062x00000EzuIAAAZ,0012800001FzWTjAAN,41,39.0,Living Expenses,7,1750,14.571,Fortnightly,Loan Paid,2456,335,37.0,1
0032800000xWX9eAAG,1030513,6623768,0062x00000EwuAzAAJ,0012800001FzWTjAAN,41,38.0,Travel Expenses,8,2200,15.714,Fortnightly,Loan Paid,2456,2821,35.0,1
0032800000xWX9eAAG,993437,5909325,0062x00000ECwWOAA1,0012800001FzWTjAAN,41,37.0,Living Expenses,8,2050,15.857,Fortnightly,Loan Paid,2456,3546,33.0,1
0032800000xWX9eAAG,907436,5055573,0062x00000DYqHbAAL,0012800001FzWTjAAN,41,36.0,Living Expenses,8,2050,15.0,Fortnightly,Loan Paid,2456,3063,31.0,1
003280000128jZQAAY,890319,4885729,0062x00000DJM9aAAH,0012800001IzG9WAAV,41,39.0,Home Maintenance & Repairs,10,2050,18.714,Fortnightly,Loan Paid,701,3522,37.0,1
0030K00001sAziuQAC,5166358,5698456,0062x00000E5zrGAAR,0010K000023zuGeQAI,40,38.0,Medical Expenses,10,2050,19.857,Fortnightly,Loan Paid,1171,4188,36.0,1
00328000019urlRAAQ,981023,5620118,0062x00000E556eAAB,0012800001SDTJkAAP,40,37.0,Vehicle Expenses,10,2500,20.0,Fortnightly,Loan Paid,433,2106,34.0,1
00328000019uss0AAA,933954,5352465,0062x00000DtqwkAAB,0012800001SDU5EAAX,40,37.0,Travel Expenses,10,2050,19.571,Fortnightly,Loan Paid,2830,3269,34.0,1
0030K00001sAziuQAC,5160765,5152779,0062x00000DrDPOAA3,0010K000023zuGeQAI,40,37.0,Home Maintenance & Repairs,7,1500,13.857,Fortnightly,Loan Paid,1171,3627,34.0,1
00328000019uszFAAQ,902526,5007385,0062x00000DY0XDAA1,0012800001SDUCEAA5,40,37.0,Vehicle Expenses,3,1900,6.0,Fortnightly,Loan Paid,638,4286,34.0,1
0032800001F3QZgAAN,891043,4892966,0062x00000DW2ahAAD,0012800001WagsMAAR,40,34.0,Furniture or Appliances,5,2000,9.571,Fortnightly,Loan Paid,560,3979,28.0,1
00328000019uss0AAA,883689,4828882,0062x00000DILzMAAX,0012800001SDU5EAAX,40,36.0,Travel Expenses,8,2300,16.143,Fortnightly,Loan Paid,2830,322,32.0,1
0032800001F3QZgAAN,869754,4714851,0062x00000DGI4BAAX,0012800001WagsMAAR,40,34.0,Travel Expenses,8,2050,15.571,Fortnightly,Loan Paid,560,4086,28.0,1
00328000019uss0AAA,838630,4463854,0062x00000D71DqAAJ,0012800001SDU5EAAX,40,35.0,Life Event Expenses,7,2000,14.143,Fortnightly,Loan Paid,2830,484,30.0,1
0032800001GubYAAAZ,831915,4401578,0062x00000D1dVEAAZ,0012800001Z3vFDAAZ,39,32.0,Travel Expenses,5,2050,9.429,Fortnightly,Loan Paid,1393,4315,25.0,1
0030K00001qSuCsQAK,5166264,5677105,0062x00000E5jyIAAR,0010K000023NWslQAG,39,36.0,Furniture or Appliances,8,2050,16.0,Fortnightly,Loan Paid,1608,3081,33.0,1
0030K00001qSuCsQAK,5162803,5310612,0062x00000DtNjlAAF,0010K000023NWslQAG,39,35.0,Furniture or Appliances,3,2000,4.857,Fortnightly,Loan Paid,1608,3205,31.0,1
0032800001GubYAAAZ,910380,5085855,0062x00000DZIucAAH,0012800001Z3vFDAAZ,39,34.0,Furniture or Appliances,8,2050,16.429,Fortnightly,Loan Paid,1393,3193,29.0,1
0030K00001qSuCsQAK,5158506,5010123,0062x00000DY3FDAA1,0010K000023NWslQAG,39,34.0,Furniture or Appliances,3,2000,4.857,Fortnightly,Loan Paid,1608,3613,29.0,1
0030K00001QZXS9QAP,897976,4961748,0062x00000DXEMQAA5,0010K00001g8QO0QAM,39,36.0,Vehicle Expenses,8,2050,14.857,Fortnightly,Loan Paid,304,2143,33.0,1
0030K00001qSuCsQAK,5156400,4892448,0062x00000DW29MAAT,0010K000023NWslQAG,39,33.0,Furniture or Appliances,3,1400,5.429,Fortnightly,Loan Paid,1608,467,27.0,1
0032800001Gtvk0AAB,887880,4867560,0062x00000DJ1zlAAD,0012800001YInZqAAL,39,35.0,Home Maintenance & Repairs,8,2050,15.143,Fortnightly,Loan Paid,2,357,31.0,1
0030K00001TV5f6QAD,832884,4410185,0062x00000D1m1gAAB,0010K00001iSWa0QAG,38,35.0,Travel Expenses,7,1900,14.143,Fortnightly,Loan Paid,1370,1830,32.0,1
0030K00001zyliWQAQ,5166037,5626813,0062x00000E58b1AAB,0010K000027yifnQAA,38,35.0,Travel Expenses,8,2050,16.0,Fortnightly,Loan Paid,1690,3257,32.0,1
0030K00001dAiVpQAK,923243,5210895,0062x00000DryX1AAJ,0010K00001sDNHOQA4,38,36.0,Life Event Expenses,8,2050,15.714,Fortnightly,Loan Paid,784,3892,34.0,1
00328000019uslrAAA,918205,5161774,0062x00000DrMvPAAV,0012800001SDTzAAAX,38,36.0,Travel Expenses,8,2050,15.857,Fortnightly,Loan Paid,2202,31,34.0,1
0030K00001TV5f6QAD,916916,5149463,0062x00000DrASbAAN,0010K00001iSWa0QAG,38,36.0,Travel Expenses,8,2100,16.0,Fortnightly,Loan Paid,1370,3482,34.0,1
00328000019ut4gAAA,911439,5095223,0062x00000DZUQ8AAP,0012800001SDUHkAAP,38,36.0,Veterinary Expenses,8,2050,16.143,Fortnightly,Loan Paid,1974,284,34.0,1
0030K00001rOvAFQA0,5156932,4919519,0062x00000DWVD2AAP,0010K000023QY4PQAW,38,34.0,Living Expenses,8,2050,16.143,Fortnightly,Loan Paid,61,3319,30.0,1
0030K00001zyliWQAQ,5156918,4918658,0062x00000DWTkxAAH,0010K000027yifnQAA,38,34.0,Travel Expenses,8,2050,16.143,Fortnightly,Loan Paid,1690,3086,30.0,1
0032x000001krpQAAQ,5155057,4820252,0062x00000DIAZcAAP,0012x000002bt3bAAA,38,36.0,Furniture or Appliances,10,2050,19.857,Fortnightly,Loan Paid,861,3481,34.0,1
00328000019uszkAAA,876342,4767827,0062x00000DHDhjAAH,0012800001SDUCjAAP,38,34.0,Home Maintenance & Repairs,6,1700,11.429,Fortnightly,Loan Paid,1652,2038,30.0,1
00328000019uslrAAA,854162,4601012,0062x00000D9pw9AAB,0012800001SDTzAAAX,38,35.0,Travel Expenses,8,2050,16.143,Fortnightly,Loan Paid,2202,3669,32.0,1
0030K00001zyliWQAQ,5147178,4463843,0062x00000D716vAAB,0010K000027yifnQAA,38,33.0,Travel Expenses,7,2000,14.143,Fortnightly,Loan Paid,1690,983,28.0,1
0032x000003xJEkAAM,5146751,4436913,0062x00000D2GysAAF,0012x000005S4JMAA0,37,28.0,Vehicle Expenses,7,1500,13.571,Fortnightly,Loan Paid,2768,2119,19.0,1
0030K00001TgSRCQA3,1046632,6935756,0062x00000F1zCVAAZ,0010K00001igdWwQAI,37,35.0,Other Expenses,10,1500,19.286,Fortnightly,Loan Paid,2724,1557,33.0,1
0030K00001TgSRCQA3,1001012,6055477,0062x00000ELfCXAA1,0010K00001igdWwQAI,37,34.0,Vehicle Expenses,8,2350,15.571,Fortnightly,Loan Paid,2724,1719,31.0,1
0030K00001rO7ymQAC,5165815,5575934,0062x00000E4TtVAAV,0010K000023Pl83QAC,37,33.0,Furniture or Appliances,11,2050,22.571,Fortnightly,Loan Paid,2799,1396,29.0,1
0030K00001TgSRCQA3,942876,5474768,0062x00000DVkm7AAD,0010K00001igdWwQAI,37,33.0,Medical Expenses,8,2400,15.857,Fortnightly,Loan Paid,2724,3192,29.0,1
0032x000003xJEkAAM,5164075,5410634,0062x00000DV1xIAAT,0012x000005S4JMAA0,37,32.0,Vehicle Expenses,10,2050,19.714,Fortnightly,Loan Paid,2768,4581,27.0,1
0032x000003xJEkAAM,5162358,5256230,0062x00000DshcBAAR,0012x000005S4JMAA0,37,31.0,Vehicle Expenses,7,2000,13.857,Fortnightly,Loan Paid,2768,404,25.0,1
0030K00001OPYlkQAH,926693,5251753,0062x00000Dsbj7AAB,0010K00001eI5SvQAK,37,34.0,Travel Expenses,8,2050,15.857,Fortnightly,Loan Paid,568,4028,31.0,1
0030K00001TgSRCQA3,904114,5022767,0062x00000DYGcnAAH,0010K00001igdWwQAI,37,32.0,Travel Expenses,8,2050,15.714,Fortnightly,Loan Paid,2724,2507,27.0,1
00328000019ut6nAAA,898330,4963934,0062x00000DXHNBAA5,0012800001SDUJrAAP,37,34.0,Furniture or Appliances,8,2050,15.857,Fortnightly,Loan Paid,1989,653,31.0,1
0032x000003xJEkAAM,5156146,4881304,0062x00000DJIBdAAP,0012x000005S4JMAA0,37,30.0,Vehicle Expenses,5,1500,9.857,Fortnightly,Loan Paid,2768,2998,23.0,1
0032x000003xJEkAAM,5150190,4602604,0062x00000D9sFXAAZ,0012x000005S4JMAA0,37,29.0,Furniture or Appliances,7,1500,14.0,Fortnightly,Loan Paid,2768,1527,21.0,1
003280000128jWWAAY,849108,4560315,0062x00000D90YVAAZ,0012800001IzG6cAAF,37,36.0,Home Maintenance & Repairs,7,1500,13.714,Fortnightly,Loan Paid,456,3434,35.0,1
0030K00001OP5U4QAL,1004366,6130784,0062x00000EMmtxAAD,0010K00001eHeiyQAC,36,35.0,Life Event Expenses,8,2050,15.429,Fortnightly,Loan Paid,26,3330,34.0,1
0030K00001obIoYQAU,5169041,6125132,0062x00000EMiO8AAL,0010K000021FJ4aQAG,36,34.0,Home Maintenance & Repairs,8,2050,15.571,Fortnightly,Loan Paid,97,1404,32.0,1
0030K00001obIoYQAU,5166481,5721328,0062x00000E6EGRAA3,0010K000021FJ4aQAG,36,33.0,Furniture or Appliances,7,2050,13.571,Fortnightly,Loan Paid,97,2207,30.0,1
0030K000025T3hcQAC,5166248,5674432,0062x00000E5go2AAB,0010K00002BRCZNQA5,36,34.0,Child Expenses,8,2050,15.0,Fortnightly,Loan Paid,2670,1604,32.0,1
0030K00001Qb5ujQAB,982796,5664192,0062x00000E5ZtqAAF,0010K00001g9eOJQAY,36,34.0,Living Expenses,8,2050,16.286,Fortnightly,Loan Paid,955,2626,32.0,1
0030K00001NR9qKQAT,981996,5646499,0062x00000E5Lo9AAF,0010K00001doTFnQAM,36,33.0,Vehicle Expenses,11,2050,20.714,Fortnightly,Loan Paid,2012,2230,30.0,1
0030K00001OP5U4QAL,946130,5531492,0062x00000E3zYtAAJ,0010K00001eHeiyQAC,36,34.0,Medical Expenses,8,2500,16.143,Fortnightly,Loan Paid,26,1044,32.0,1
00328000011PQ29AAG,930177,5296973,0062x00000DtDCTAA3,0012800001IYgiYAAT,36,33.0,Travel Expenses,8,2100,16.0,Fortnightly,Loan Paid,1007,3004,30.0,1
0030K00001Qb5ujQAB,917725,5156255,0062x00000DrIIrAAN,0010K00001g9eOJQAY,36,33.0,Travel Expenses,8,2000,15.857,Fortnightly,Loan Paid,955,3933,30.0,1
0030K00001MaKiqQAF,911445,5095217,0062x00000DZUPjAAP,0010K00001cQNfLQAW,36,35.0,Living Expenses,8,2050,15.286,Fortnightly,Loan Paid,448,2904,34.0,1
0030K00001NR9qKQAT,889794,4881298,0062x00000DJIB9AAP,0010K00001doTFnQAM,36,32.0,Furniture or Appliances,10,2050,20.0,Fortnightly,Loan Paid,2012,152,28.0,1
0032x000002cEd3AAE,5154092,4773983,0062x00000DHLNGAA5,0012x000003E226AAC,36,31.0,Medical Expenses,8,2050,16.143,Fortnightly,Loan Paid,584,870,26.0,1
0030K00001OP5U4QAL,873751,4746419,0062x00000DGqwHAAT,0010K00001eHeiyQAC,36,33.0,Travel Expenses,8,2050,14.857,Fortnightly,Loan Paid,26,4218,30.0,1
0030K00001Qb5ujQAB,871346,4728455,0062x00000DGZ75AAH,0010K00001g9eOJQAY,36,32.0,Life Event Expenses,8,2050,15.286,Fortnightly,Loan Paid,955,1976,28.0,1
00328000011PQ29AAG,871330,4728340,0062x00000DGZ0TAAX,0012800001IYgiYAAT,36,31.0,Travel Expenses,8,2050,16.143,Fortnightly,Loan Paid,1007,143,26.0,1
0030K00001LD9LNQA1,865196,4679781,0062x00000DFebDAAT,0010K00001bYTRxQAO,36,32.0,Life Event Expenses,8,2050,15.286,Fortnightly,Loan Paid,1114,3455,28.0,1
0030K00001NR9qKQAT,853677,4599842,0062x00000D9oSNAAZ,0010K00001doTFnQAM,36,31.0,Furniture or Appliances,8,1400,16.143,Fortnightly,Loan Paid,2012,2992,26.0,1
0032x000002cEd3AAE,5148031,4508418,0062x00000D7y6AAAR,0012x000003E226AAC,36,30.0,Medical Expenses,7,2000,14.0,Fortnightly,Loan Paid,584,4228,24.0,1
0030K00001NR9qKQAT,835964,4438322,0062x00000D2ISUAA3,0010K00001doTFnQAM,36,30.0,Furniture or Appliances,7,1300,13.714,Fortnightly,Loan Paid,2012,4430,24.0,1
0030K00001OP5U4QAL,850594,4571568,0062x00000D9DwBAAV,0010K00001eHeiyQAC,36,32.0,Living Expenses,7,2000,12.714,Fortnightly,Loan Paid,26,4292,28.0,1
00328000019uspVAAQ,993877,5913328,0062x00000ED1c7AAD,0012800001SDU2YAAX,35,33.0,Life Event Expenses,8,2100,15.857,Fortnightly,Loan Paid,2571,2631,31.0,1
0030K00001T7OtbQAF,979027,5579713,0062x00000E4W9VAAV,0010K00001iKMxNQAW,35,33.0,Travel Expenses,8,2050,15.143,Fortnightly,Loan Paid,94,1029,31.0,1
00328000019ut4SAAQ,946215,5527378,0062x00000E3v5vAAB,0012800001SDUHWAA5,35,33.0,Medical Expenses,8,2050,15.286,Fortnightly,Loan Paid,36,1793,31.0,1
0030K00001M8radQAB,937060,5399607,0062x00000DUtQGAA1,0010K00001cODKAQA4,35,33.0,Home Maintenance & Repairs,8,2050,14.857,Fortnightly,Loan Paid,187,4222,31.0,1
0030K00001PVwAHQA1,929663,5285550,0062x00000Dt55lAAB,0010K00001fdS9HQAU,35,33.0,Home Maintenance & Repairs,8,2050,16.143,Fortnightly,Loan Paid,500,272,31.0,1
00328000019usleAAA,926123,5245041,0062x00000DsVm4AAF,0012800001SDTyxAAH,35,33.0,Home Maintenance & Repairs,8,2050,16.143,Fortnightly,Loan Paid,1752,3603,31.0,1
0030K00001Maz1KQAR,911419,5095128,0062x00000DZUHgAAP,0010K00001cQzYyQAK,35,32.0,Vehicle Expenses,3,2000,6.0,Fortnightly,Loan Paid,1925,137,29.0,1
00328000019useCAAQ,911463,5095553,0062x00000DZUr4AAH,0012800001SDTrGAAX,35,31.0,Life Event Expenses,7,1800,14.0,Fortnightly,Loan Paid,2617,1474,27.0,1
00328000019uspVAAQ,894782,4927282,0062x00000DWeLtAAL,0012800001SDU2YAAX,35,32.0,Medical Expenses,8,2500,15.857,Fortnightly,Loan Paid,2571,3275,29.0,1
003280000148YyXAAU,891408,4896678,0062x00000DW6U3AAL,0012800001LfLRRAA3,35,32.0,Living Expenses,8,2100,15.714,Fortnightly,Loan Paid,289,3177,29.0,1
0030K00001T7OtbQAF,876212,4767015,0062x00000DHCvVAAX,0010K00001iKMxNQAW,35,32.0,Home Maintenance & Repairs,8,2050,16.0,Fortnightly,Loan Paid,94,764,29.0,1
00328000019useCAAQ,860992,4649220,0062x00000DAs9iAAD,0012800001SDTrGAAX,35,29.0,Other Expenses,7,1800,13.857,Fortnightly,Loan Paid,2617,4344,23.0,1
00328000019usleAAA,857152,4625206,0062x00000DAKj9AAH,0012800001SDTyxAAH,35,32.0,Home Maintenance & Repairs,7,1650,13.571,Fortnightly,Loan Paid,1752,973,29.0,1
0030K00001M8radQAB,839990,4472399,0062x00000D7DQBAA3,0010K00001cODKAQA4,35,32.0,Home Maintenance & Repairs,10,2050,19.857,Fortnightly,Loan Paid,187,2608,29.0,1
0030K00001Maz1KQAR,848168,4549842,0062x00000D8n0GAAR,0010K00001cQzYyQAK,35,31.0,Home Maintenance & Repairs,6,2050,12.0,Fortnightly,Loan Paid,1925,3930,27.0,1
00328000019usi4AAA,981150,5627432,0062x00000E59LsAAJ,0012800001SDTvIAAX,34,32.0,Vehicle Expenses,8,2050,15.857,Fortnightly,Loan Paid,2023,3529,30.0,1
0032800001J3WRBAA3,946511,5533025,0062x00000E41OHAAZ,0012800001ZsI6XAAV,34,31.0,Living Expenses,10,2100,20.143,Fortnightly,Loan Paid,809,2151,28.0,1
0030K00001pxszIQAQ,5162470,5267523,0062x00000Dsoh7AAB,0010K000022MekGQAS,34,31.0,Life Event Expenses,7,2000,13.714,Fortnightly,Loan Paid,823,52,28.0,1
003280000128jTnAAI,915509,5130926,0062x00000Da2IzAAJ,0012800001IzG3tAAF,34,32.0,Furniture or Appliances,10,2050,19.143,Fortnightly,Loan Paid,1980,1377,30.0,1
0030K00001OgatdQAB,902376,5004339,0062x00000DXyFvAAL,0010K00001eYZemQAG,34,30.0,Living Expenses,10,2050,20.143,Fortnightly,Loan Paid,2618,1235,26.0,1
0032x000002SNACAA4,5156935,4919501,0062x00000DWVBkAAP,0012x000003CfGZAA0,34,31.0,Medical Expenses,8,2050,14.857,Fortnightly,Loan Paid,1128,4311,28.0,1
0030K00001pxszIQAQ,5156199,4882720,0062x00000DJKHTAA5,0010K000022MekGQAS,34,30.0,Life Event Expenses,5,2000,10.0,Fortnightly,Loan Paid,823,3560,26.0,1
0030K00002675QpQAI,5155159,4826920,0062x00000DIJXQAA5,0010K00002BSw1KQAT,34,32.0,Living Expenses,10,2100,19.857,Fortnightly,Loan Paid,1499,4164,30.0,1
0032800001J3WRBAA3,883365,4828546,0062x00000DILX8AAP,0012800001ZsI6XAAV,34,30.0,Living Expenses,10,2100,19.0,Fortnightly,Loan Paid,809,245,26.0,1
0032800001J3WRBAA3,880572,4803133,0062x00000DHqoKAAT,0012800001ZsI6XAAV,34,29.0,Living Expenses,8,2050,15.571,Fortnightly,Loan Paid,809,4140,24.0,1
0030K00001UkvN7QAJ,863056,4663887,0062x00000DFN0tAAH,0010K00001jOTZJQA4,34,31.0,Veterinary Expenses,10,2500,20.0,Fortnightly,Loan Paid,2505,1672,28.0,1
0032x000002SNACAA4,5151000,4636172,0062x00000DAaInAAL,0012x000003CfGZAA0,34,30.0,Home Maintenance & Repairs,7,2000,13.143,Fortnightly,Loan Paid,1128,1838,26.0,1
0030K00002675QpQAI,5148755,4543193,0062x00000D8elmAAB,0010K00002BSw1KQAT,34,31.0,Medical Expenses,8,2050,16.143,Fortnightly,Loan Paid,1499,48,28.0,1
00328000019uslZAAQ,847840,4547954,0062x00000D8kHJAAZ,0012800001SDTysAAH,34,29.0,Medical Expenses,8,2050,16.286,Fortnightly,Loan Paid,2164,3278,24.0,1
0032800000wBXORAA4,996162,5952355,0062x00000EDaB3AAL,0012800001EiVpWAAV,33,31.0,Vehicle Expenses,8,1500,16.0,Fortnightly,Loan Paid,2795,3082,29.0,1
00328000019uswAAAQ,989043,5833490,0062x00000E7bPrAAJ,0012800001SDU99AAH,33,31.0,Travel Expenses,8,2050,16.0,Fortnightly,Loan Paid,1005,1390,29.0,1
0030K00001uXEFOQA4,5166685,5780425,0062x00000E6w74AAB,0010K00002438TEQAY,33,31.0,Travel Expenses,8,2350,14.857,Fortnightly,Loan Paid,1118,2540,29.0,1
0030K00001RSC6IQAX,982042,5647294,0062x00000E5MEgAAN,0010K00001hCaqzQAC,33,31.0,Vehicle Expenses,8,2050,15.714,Fortnightly,Loan Paid,1507,4125,29.0,1
0032x0000041tkdAAA,5165939,5607892,0062x00000E4vS8AAJ,0012x000005SQ99AAG,33,30.0,Travel Expenses,8,2050,16.143,Fortnightly,Loan Paid,1601,3248,27.0,1
0030K00001XzGdZQAV,942523,5476105,0062x00000DVmuRAAT,0010K00001mgB8mQAE,33,31.0,Home Maintenance & Repairs,7,2000,13.857,Fortnightly,Loan Paid,1790,2170,29.0,1
0030K00001uXEFOQA4,5162290,5253511,0062x00000DsdtDAAR,0010K00002438TEQAY,33,30.0,Life Event Expenses,7,2000,13.857,Fortnightly,Loan Paid,1118,1674,27.0,1
00328000019usoPAAQ,918952,5167925,0062x00000DrRdQAAV,0012800001SDU1SAAX,33,29.0,Life Event Expenses,10,2050,20.571,Fortnightly,Loan Paid,1066,1658,25.0,1
00328000019useDAAQ,907890,5060704,0062x00000DYvErAAL,0012800001SDTrHAAX,33,30.0,Living Expenses,8,2050,16.0,Fortnightly,Loan Paid,325,4055,27.0,1
0030K00001XzGdZQAV,902867,5009605,0062x00000DY36jAAD,0010K00001mgB8mQAE,33,30.0,Relocation Expenses,7,2000,13.857,Fortnightly,Loan Paid,1790,1033,27.0,1
0032800001DsQf3AAF,889365,4879481,0062x00000DJFohAAH,0012800001VpJeZAAV,33,30.0,Vehicle Expenses,8,2050,15.857,Fortnightly,Loan Paid,2638,415,27.0,1
