,Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Ratings
10,0032x00000WjfpFAAR,5149573,4580751,0062x00000D9P4fAAF,0012x00000gmhxAAAQ,4,0.0,Living Expenses,3,200,5.143,Fortnightly,Loan Paid,0.0
11,0032x00000Wjfj7AAB,5149570,4580619,0062x00000D9OtXAAV,0012x00000gmhrtAAA,4,0.0,Travel Expenses,2,300,6.429,Monthly,Loan Paid,0.0
12,0032x00000WjfT4AAJ,851623,4580189,0062x00000D9OHJAA3,0012x00000gmhcvAAA,5,0.0,Once off purchase,3,500,5.571,Fortnightly,Loan Paid,0.0
13,0032x00000WjfOsAAJ,851550,4580052,0062x00000D9O53AAF,0012x00000gmhYpAAI,4,0.0,Home Maintenance & Repairs,3,1000,5.429,Fortnightly,Loan Paid,0.0
14,0032x00000Wjev7AAB,851257,4579347,0062x00000D9N7mAAF,0012x00000gmh7tAAA,4,0.0,Landscaping,2,500,6.429,Monthly,Loan Paid,0.0
15,0032x00000WjeQjAAJ,851109,4578424,0062x00000D9LtjAAF,0012x00000gmglLAAQ,4,0.0,Other,3,1200,5.429,Fortnightly,Loan Paid,0.0
16,0032x00000Wjch3AAB,851184,4576149,0062x00000D9J08AAF,0012x00000gmf01AAA,5,0.0,Holiday / Travel,3,500,6.286,Fortnightly,Loan Paid,0.0
17,0032x00000WjcY5AAJ,5149497,4575896,0062x00000D9IhBAAV,0012x00000gmer1AAA,5,0.0,Furniture or Appliances,3,1000,4.714,Fortnightly,Loan Paid,0.0
18,0032x00000WjcS6AAJ,5149491,4575758,0062x00000D9IXQAA3,0012x00000gmeldAAA,4,0.0,Living Expenses,6,200,6.571,Weekly,Loan Paid,0.0
19,0032x00000WjcKHAAZ,850901,4575518,0062x00000D9IGjAAN,0012x00000gmee3AAA,6,0.0,Vehicle Expenses,6,500,6.286,Weekly,Loan Paid,0.0
20,0032x00000WjcA2AAJ,5149472,4575165,0062x00000D9HtVAAV,0012x00000gmeUSAAY,5,0.0,Living Expenses,6,300,6.429,Weekly,Loan Paid,0.0
21,0032x00000Wjc82AAB,850872,4575326,0062x00000D9HolAAF,0012x00000gmeSSAAY,5,0.0,Vehicle Expenses,6,400,5.571,Weekly,Loan Paid,0.0
22,0032x00000Wjc1jAAB,850819,4574915,0062x00000D9HcoAAF,0012x00000gmeMTAAY,4,0.0,Other,6,800,6.571,Weekly,Loan Paid,0.0
23,0032x00000WjbXqAAJ,5149443,4573945,0062x00000D9GcEAAV,0012x00000gmdqPAAQ,5,0.0,Child Expenses,3,200,4.857,Fortnightly,Loan Paid,0.0
24,0032x00000WjbXmAAJ,5149431,4573957,0062x00000D9Gc5AAF,0012x00000gmdqLAAQ,4,0.0,Living Expenses,6,300,6.429,Weekly,Loan Paid,0.0
25,0032x00000WjbVpAAJ,850680,4573877,0062x00000D9GXnAAN,0012x00000gmdoOAAQ,4,0.0,Life Event Expenses,6,800,6.571,Weekly,Loan Paid,0.0
26,0032x00000WjbSlAAJ,850762,4573753,0062x00000D9G7MAAV,0012x00000gmdlKAAQ,5,0.0,"Transport or petrol, Food, Professional services",3,800,6.429,Fortnightly,Loan Paid,0.0
27,0032x00000WjbRtAAJ,5149427,4573864,0062x00000D9GOIAA3,0012x00000gmdkNAAQ,5,0.0,Living Expenses,6,300,5.714,Weekly,Loan Paid,0.0
28,0032x00000WjaNSAAZ,5149407,4571823,0062x00000D9EFcAAN,0012x00000gmcgEAAQ,4,0.0,Living Expenses,3,200,5.571,Fortnightly,Loan Paid,0.0
29,0032x00000Wja8wAAB,850621,4571497,0062x00000D9DqXAAV,0012x00000gmcSjAAI,5,0.0,Medical Expenses,3,200,6.0,Fortnightly,Loan Paid,0.0
30,0032x00000WjZtEAAV,850577,4571159,0062x00000D9DPCAA3,0012x00000gmbsUAAQ,4,0.0,Living Expenses,2,550,6.571,Monthly,Loan Paid,0.0
31,0032x00000WjZjoAAF,850560,4570914,0062x00000D9D7hAAF,0012x00000gmbk7AAA,4,0.0,Short Term Loan,6,700,5.857,Weekly,Loan Paid,0.0
32,0032x00000WjZU1AAN,850436,4570448,0062x00000D9CbMAAV,0012x00000gmbUrAAI,5,0.0,Vehicle Other,6,1200,10.714,Fortnightly,Loan Paid,0.0
33,0032x00000WjZ8pAAF,850336,4569778,0062x00000D9BolAAF,0012x00000gmbBUAAY,4,0.0,Living Expenses,6,800,5.857,Weekly,Loan Paid,0.0
34,0032x00000WjWsqAAF,849991,4564874,0062x00000D970zAAB,0012x00000gmYznAAE,5,0.0,Holiday / Travel,6,1200,5.857,Weekly,Loan Paid,0.0
35,0032x00000WjWjJAAV,849989,4564624,0062x00000D96hnAAB,0012x00000gmYqvAAE,4,0.0,Child Expenses,3,500,5.857,Fortnightly,Loan Paid,0.0
36,0032x00000WjWIdAAN,849858,4564046,0062x00000D95kMAAR,0012x00000gmYL6AAM,4,0.0,Child Expenses,6,500,5.714,Weekly,Loan Paid,0.0
37,0032x00000WjWEYAA3,5149215,4563934,0062x00000D95ZnAAJ,0012x00000gmYHGAA2,4,0.0,Life Event Expenses,3,300,4.857,Fortnightly,Loan Paid,0.0
38,0032x00000WjWAbAAN,5149200,4563842,0062x00000D95Q2AAJ,0012x00000gmYEEAA2,4,0.0,Living Expenses,3,300,5.857,Fortnightly,Loan Paid,0.0
39,0032x00000WjW3GAAV,849788,4563673,0062x00000D95BMAAZ,0012x00000gmY7UAAU,4,0.0,Medical Expenses,6,550,5.857,Weekly,Loan Paid,0.0
40,0032x00000WjVzsAAF,5149191,4563600,0062x00000D9559AAB,0012x00000gmY4QAAU,5,0.0,Living Expenses,3,200,4.714,Fortnightly,Loan Paid,0.0
41,0032x00000WjVfqAAF,849668,4563174,0062x00000D94NlAAJ,0012x00000gmXiAAAU,4,0.0,Vehicle - Repairs,6,500,5.714,Weekly,Loan Paid,0.0
42,0032x00000WjVTcAAN,849595,4562973,0062x00000D9453AAB,0012x00000gmXZVAA2,4,0.0,Home Maintenance & Repairs,6,500,5.714,Weekly,Loan Paid,0.0
43,0032x00000WjVQiAAN,849771,4562885,0062x00000D93yHAAR,0012x00000gmXXFAA2,5,0.0,Vehicle Expenses,3,500,5.0,Fortnightly,Loan Paid,0.0
44,0032x00000WjVLTAA3,5149171,4562748,0062x00000D93mpAAB,0012x00000gmXSKAA2,4,0.0,Vehicle Expenses,6,400,5.857,Weekly,Loan Paid,0.0
45,0032x00000WjV9FAAV,849527,4562461,0062x00000D93PCAAZ,0012x00000gmXJJAA2,4,0.0,Medical - Dental,6,500,6.0,Weekly,Loan Paid,0.0
46,0032x00000WjV3lAAF,5149159,4562319,0062x00000D93DaAAJ,0012x00000gmXDOAA2,4,0.0,Living Expenses,6,300,5.714,Weekly,Loan Paid,0.0
47,0032x00000WjV2TAAV,5149143,4562282,0062x00000D93AWAAZ,0012x00000gmXBxAAM,4,0.0,Vehicle Expenses,3,300,5.0,Fortnightly,Loan Paid,0.0
48,0032x00000WjUyCAAV,849429,4562283,0062x00000D93AbAAJ,0012x00000gmX7fAAE,4,0.0,Living Expenses,3,500,5.0,Fortnightly,Loan Paid,0.0
49,0032x00000WjUatAAF,849399,4561681,0062x00000D92IAAAZ,0012x00000gmWktAAE,5,0.0,Vehicle Expenses,3,850,5.0,Fortnightly,Loan Paid,0.0
50,0032x00000WjURmAAN,849291,4561300,0062x00000D91luAAB,0012x00000gmWbYAAU,6,0.0,Everyday living,3,400,4.714,Fortnightly,Loan Paid,0.0
51,0032x00000WjUGPAA3,849632,4561005,0062x00000D91LIAAZ,0012x00000gmWRTAA2,9,0.0,Emergency,3,500,4.857,Fortnightly,Loan Paid,0.0
52,0032x00000WjU9TAAV,849296,4560802,0062x00000D9176AAB,0012x00000gmWLLAA2,4,0.0,Vehicle - Repairs,6,150,5.714,Weekly,Loan Paid,0.0
53,0032x00000WjU0PAAV,849265,4560560,0062x00000D90qAAAR,0012x00000gmWEKAA2,5,0.0,Living Expenses,3,750,4.857,Fortnightly,Loan Paid,0.0
54,0032x00000WjTy9AAF,5149103,4560482,0062x00000D90kRAAR,0012x00000gmWC9AAM,4,0.0,Vehicle Expenses,3,300,4.714,Fortnightly,Loan Paid,0.0
55,0032x00000WjTnkAAF,849093,4560178,0062x00000D90OuAAJ,0012x00000gmW3MAAU,4,0.0,Living Expenses,3,500,5.857,Fortnightly,Loan Paid,0.0
56,0032x00000WjTX9AAN,849321,4559769,0062x00000D8zqtAAB,0012x00000gmVo8AAE,4,0.0,Rental - Electrical,6,200,6.0,Weekly,Loan Paid,0.0
57,0032x00000WjT1qAAF,849046,4558531,0062x00000D8yniAAB,0012x00000gmVIfAAM,4,0.0,Medical Bill,6,1200,6.143,Weekly,Loan Paid,0.0
58,0032x00000WjR7yAAF,848766,4555930,0062x00000D8uoIAAR,0012x00000gAhyYAAS,4,0.0,Moving - Removalist,3,500,5.143,Fortnightly,Loan Paid,0.0
59,0032x00000WjQufAAF,848719,4555604,0062x00000D8uJoAAJ,0012x00000gAhizAAC,4,0.0,Medical Expenses,6,300,6.0,Weekly,Loan Paid,0.0
60,0032x00000WjQqTAAV,848724,4555511,0062x00000D8uAmAAJ,0012x00000gAheiAAC,4,0.0,Business expenses,6,500,6.0,Weekly,Loan Paid,0.0
61,0032x00000WjQX8AAN,848893,4555077,0062x00000D8tXzAAJ,0012x00000gAhLeAAK,4,0.0,Vehicle Expenses,6,500,5.857,Weekly,Loan Paid,0.0
62,0032x00000WjQHPAA3,848560,4554568,0062x00000D8snrAAB,0012x00000gAh6GAAS,4,0.0,Vehicle - Repairs,3,800,6.0,Fortnightly,Loan Paid,0.0
63,0032x00000WjQ3zAAF,848533,4554221,0062x00000D8sQOAAZ,0012x00000gAgwBAAS,6,0.0,Medical - Medication,3,400,4.714,Fortnightly,Loan Paid,0.0
64,0032x00000WjOM2AAN,5148934,4550961,0062x00000D8ol9AAB,0012x00000gAf1bAAC,4,0.0,Living Expenses,3,300,5.143,Fortnightly,Loan Paid,0.0
65,0032x00000WjOKaAAN,848363,4550885,0062x00000D8omuAAB,0012x00000gAf09AAC,4,0.0,Medical/Dental,3,200,5.429,Fortnightly,Loan Paid,0.0
66,0032x00000WjOHSAA3,848367,4550805,0062x00000D8ogXAAR,0012x00000gAewGAAS,4,0.0,Living Expenses,6,500,6.143,Weekly,Loan Paid,0.0
67,0032x00000WjNdAAAV,848198,4550085,0062x00000D8nLTAAZ,0012x00000gAeFiAAK,6,0.0,car,6,700,6.143,Weekly,Loan Paid,0.0
68,0032x00000WjNbsAAF,848195,4550047,0062x00000D8nHRAAZ,0012x00000gAeDnAAK,4,0.0,Other Expenses,3,1000,5.143,Fortnightly,Loan Paid,0.0
69,0032x00000WjNPDAA3,848137,4549752,0062x00000D8mrsAAB,0012x00000gAe2zAAC,5,0.0,Medical Expenses,9,1200,9.286,Weekly,Loan Paid,0.0
70,0032x00000WjMyxAAF,5148881,4549148,0062x00000D8lx2AAB,0012x00000gAddzAAC,4,0.0,Living Expenses,5,200,9.0,Fortnightly,Loan Paid,0.0
71,0032x00000WjMrwAAF,5148857,4548906,0062x00000D8larAAB,0012x00000gAdX2AAK,4,0.0,Living Expenses,3,200,5.286,Fortnightly,Loan Paid,0.0
72,0032x00000WjMcYAAV,847911,4548497,0062x00000D8l5TAAR,0012x00000gAdHIAA0,7,0.0,Medical Expenses,3,1200,5.286,Fortnightly,Loan Paid,0.0
73,0032x00000WjLORAA3,5148785,4546380,0062x00000D8iKuAAJ,0012x00000gAbQzAAK,5,0.0,Living Expenses,3,200,4.857,Fortnightly,Loan Paid,0.0
74,0032x00000WjLFjAAN,847589,4546116,0062x00000D8i4NAAR,0012x00000gAbIRAA0,4,0.0,Living Expenses,6,500,6.143,Weekly,Loan Paid,0.0
75,0032x00000WjJlWAAV,847503,4543544,0062x00000D8fH5AAJ,0012x00000gAZn1AAG,4,0.0,Medical Expenses,6,500,6.143,Weekly,Loan Paid,0.0
76,0032x00000WjJlGAAV,847508,4543537,0062x00000D8fGaAAJ,0012x00000gAZmqAAG,6,0.0,Living Expenses,6,500,6.143,Weekly,Loan Paid,0.0
77,0032x00000WjJZJAA3,847464,4543200,0062x00000D8emLAAR,0012x00000gAZbEAAW,5,0.0,Living Expenses,3,500,6.286,Fortnightly,Loan Paid,0.0
78,0032x00000WjJWeAAN,847438,4543132,0062x00000D8eclAAB,0012x00000gAZYjAAO,5,0.0,Medical Expenses,6,500,6.143,Weekly,Loan Paid,0.0
79,0032x00000WjJDyAAN,847418,4542747,0062x00000D8duTAAR,0012x00000gAZ93AAG,6,0.0,Home - Repairs/Maintenance,6,800,6.286,Weekly,Loan Paid,0.0
80,0032x00000WjJ81AAF,847350,4542635,0062x00000D8dhUAAR,0012x00000gAZ3fAAG,4,0.0,Medical Expenses,3,500,5.429,Fortnightly,Loan Paid,0.0
81,0032x00000WjIfyAAF,847268,4542137,0062x00000D8ctPAAR,0012x00000gAYhXAAW,5,0.0,Funeral Expenses,6,500,6.0,Weekly,Loan Paid,0.0
82,0032x00000WjI86AAF,847198,4541595,0062x00000D8c5UAAR,0012x00000gAY3pAAG,4,0.0,Relocation Expenses,6,800,6.143,Weekly,Loan Paid,0.0
83,0032x00000WjHuxAAF,847118,4541062,0062x00000D8bKdAAJ,0012x00000gAXqOAAW,5,0.0,Medical Expenses,3,300,5.286,Fortnightly,Loan Paid,0.0
84,0032x00000WjHqvAAF,5148694,4540986,0062x00000D8bCjAAJ,0012x00000gAXltAAG,4,0.0,Living Expenses,3,200,5.286,Fortnightly,Loan Paid,0.0
85,0032x00000WjHkHAAV,5148689,4540960,0062x00000D8bAJAAZ,0012x00000gAXhpAAG,11,0.0,Living Expenses,3,200,5.571,Fortnightly,Loan Paid,0.0
86,0032x00000WjHiGAAV,847067,4540906,0062x00000D8b59AAB,0012x00000gAXgSAAW,5,0.0,Medical - Dental,3,400,5.429,Fortnightly,Loan Paid,0.0
87,0032x00000WjHRyAAN,847439,4540529,0062x00000D8aUwAAJ,0012x00000gAXS7AAO,4,0.0,Living Expenses,3,500,5.429,Fortnightly,Loan Paid,0.0
88,0032x00000WjF9kAAF,5148628,4536388,0062x00000D8W3xAAF,0012x00000gAVE2AAO,4,0.0,Vehicle Expenses,6,500,6.429,Weekly,Loan Paid,0.0
89,0032x00000WjF38AAF,846780,4536273,0062x00000D8VuMAAV,0012x00000gAV8JAAW,4,0.0,Home Maintenance,6,1200,6.286,Weekly,Loan Paid,0.0
90,0032x00000WjEypAAF,849207,4560806,0062x00000D915kAAB,0012x00000gAV3MAAW,4,0.0,Home Maintenance & Repairs,3,1200,5.0,Fortnightly,Loan Paid,0.0
91,0032x00000WjEb9AAF,846813,4535720,0062x00000D8UvYAAV,0012x00000gAUYeAAO,4,0.0,Living Expenses,3,500,5.714,Fortnightly,Loan Paid,0.0
92,0032x00000WjEV2AAN,5148606,4535586,0062x00000D8Ui5AAF,0012x00000gAUSQAA4,6,0.0,Living Expenses,6,200,6.286,Weekly,Loan Paid,0.0
93,0032x00000WjDxJAAV,846596,4534885,0062x00000D8TdnAAF,0012x00000gATwWAAW,4,0.0,Bills,6,500,6.571,Weekly,Loan Paid,0.0
94,0032x00000WjDrpAAF,846642,4534788,0062x00000D8TURAA3,0012x00000gATsuAAG,4,0.0,Living Expenses,3,200,4.714,Fortnightly,Loan Paid,0.0
95,0032x00000WjDcwAAF,5148572,4534486,0062x00000D8T4nAAF,0012x00000gATgFAAW,4,0.0,Vehicle Expenses,6,500,6.286,Weekly,Loan Paid,0.0
96,0032x00000WjDJHAA3,5148552,4534029,0062x00000D8SQ9AAN,0012x00000gATP9AAO,5,0.0,Living Expenses,3,200,6.429,Fortnightly,Loan Paid,0.0
97,0032x00000WjCXwAAN,848745,4533020,0062x00000D8QsBAAV,0012x00000gASh8AAG,4,0.0,Home - Repairs/Maintenance,6,1200,6.571,Weekly,Loan Paid,0.0
98,0032x00000WjCIsAAN,846387,4532751,0062x00000D8QW5AAN,0012x00000gASXcAAO,4,0.0,Living Expenses,3,500,5.429,Fortnightly,Loan Paid,0.0
99,0032x00000WjCC1AAN,846300,4532389,0062x00000D8Q88AAF,0012x00000gASRAAA4,4,0.0,Other,3,1000,5.571,Fortnightly,Loan Paid,0.0
100,0032x00000WjAHkAAN,846139,4529738,0062x00000D8MxRAAV,0012x00000gAQUAAA4,6,0.0,Living Expenses,6,500,6.571,Weekly,Loan Paid,0.0
101,0032x00000WjAFoAAN,846155,4529707,0062x00000D8MvQAAV,0012x00000gAQSJAA4,5,0.0,Living Expenses,6,500,5.571,Weekly,Loan Paid,0.0
102,0032x00000Wj9tAAAR,846044,4529027,0062x00000D8MCBAA3,0012x00000gAQ80AAG,5,0.0,Education - School Fees,6,1000,6.571,Weekly,Loan Paid,0.0
103,0032x00000Wj9lBAAR,5148438,4528754,0062x00000D8LvKAAV,0012x00000gAQ0QAAW,4,0.0,Living Expenses,2,300,6.571,Monthly,Loan Paid,0.0
104,0032x00000Wj9k0AAB,846017,4528828,0062x00000D8LdrAAF,0012x00000gAPzQAAW,5,0.0,Other,3,1000,5.571,Fortnightly,Loan Paid,0.0
105,0032x00000Wj9ggAAB,846024,4528606,0062x00000D8LleAAF,0012x00000gAPwGAAW,6,0.0,Living Expenses,3,400,6.571,Fortnightly,Loan Paid,0.0
106,0032x00000Wj9YIAAZ,845949,4528303,0062x00000D8LD5AAN,0012x00000gAPo7AAG,4,0.0,Other Expenses,6,250,6.571,Weekly,Loan Paid,0.0
107,0032x00000Wj9HJAAZ,845870,4527817,0062x00000D8KzaAAF,0012x00000gAPYoAAO,5,0.0,Student Loan Repayment,6,1200,6.429,Weekly,Loan Paid,0.0
108,0032x00000Wj9E0AAJ,845860,4527673,0062x00000D8KstAAF,0012x00000gAPVaAAO,5,0.0,Living Expenses,3,200,6.286,Fortnightly,Loan Paid,0.0
109,0032x00000Wj98mAAB,845852,4527740,0062x00000D8KXmAAN,0012x00000gAPQbAAO,4,0.0,Other,6,600,6.571,Weekly,Loan Paid,0.0
110,0032x00000Wj8u5AAB,845751,4526796,0062x00000D8K3gAAF,0012x00000gAPC4AAO,4,0.0,Purchase motorcycle,3,700,4.571,Fortnightly,Loan Paid,0.0
111,0032x00000Wj8XwAAJ,5148416,4526046,0062x00000D8JL5AAN,0012x00000gAOqDAAW,5,0.0,Living Expenses,6,300,6.571,Weekly,Loan Paid,0.0
112,0032x00000Wj7z0AAB,845836,4524852,0062x00000D8I3BAAV,0012x00000gAOGgAAO,6,0.0,Vehicle Expenses,3,300,6.571,Fortnightly,Loan Paid,0.0
113,0032x00000Wj7m9AAB,845738,4524655,0062x00000D8Hm9AAF,0012x00000gAO4TAAW,4,0.0,Vehicle Expenses,6,600,5.714,Weekly,Loan Paid,0.0
114,0032x00000Wj7lpAAB,5148400,4524645,0062x00000D8HlQAAV,0012x00000gAO4EAAW,4,0.0,Living Expenses,6,200,11.714,Weekly,Loan Paid,0.0
115,0032x00000Wj7laAAB,5148407,4524643,0062x00000D8HlGAAV,0012x00000gAO44AAG,4,0.0,Living Expenses,3,300,6.571,Fortnightly,Loan Paid,0.0
116,0032x00000Wj7WUAAZ,5148916,4524262,0062x00000D8HJvAAN,0012x00000gANpcAAG,4,0.0,Vehicle Expenses,6,300,5.857,Weekly,Loan Paid,0.0
117,0032x00000Wj7EXAAZ,845654,4523833,0062x00000D8GnQAAV,0012x00000gANDPAA4,4,0.0,Car Other,3,500,4.714,Fortnightly,Loan Paid,0.0
118,0032x00000Wj7EIAAZ,5148382,4523829,0062x00000D8Gn1AAF,0012x00000gANDFAA4,5,0.0,Living Expenses,3,200,6.0,Fortnightly,Loan Paid,0.0
119,0032x00000Wj77nAAB,845610,4523639,0062x00000D8GaCAAV,0012x00000gAN7NAAW,5,0.0,Living Expenses,3,450,5.429,Fortnightly,Loan Paid,0.0
120,0032x00000Wj73RAAR,845611,4523524,0062x00000D8GSXAA3,0012x00000gAN3QAAW,5,0.0,Living Expenses,6,1200,5.857,Weekly,Loan Paid,0.0
121,0032x00000Wj6zoAAB,845684,4523434,0062x00000D8GLgAAN,0012x00000gAN0WAAW,4,0.0,Medical Bill,2,800,7.714,Monthly,Loan Paid,0.0
122,0032x00000Wj6xeAAB,850482,4565540,0062x00000D97u4AAB,0012x00000gAMyMAAW,5,0.0,Other Expenses,10,1200,10.0,Weekly,Loan Paid,0.0
123,0032x00000Wj6oiAAB,845624,4523125,0062x00000D8FzBAAV,0012x00000gAMpdAAG,5,0.0,Holiday expenses,3,500,6.0,Fortnightly,Loan Paid,0.0
124,0032x00000Wj6XWAAZ,845352,4522577,0062x00000D8FLWAA3,0012x00000gAMZoAAO,4,0.0,Vehicle - Registration,6,200,6.571,Weekly,Loan Paid,0.0
125,0032x00000Wj6EUAAZ,5148304,4521998,0062x00000D8EkyAAF,0012x00000gAMIXAA4,4,0.0,Living Expenses,6,300,5.857,Weekly,Loan Paid,0.0
126,0032x00000Wj6CdAAJ,845179,4521921,0062x00000D8EftAAF,0012x00000gAMGbAAO,4,0.0,Home Improvements,3,250,5.857,Fortnightly,Loan Paid,0.0
127,0032x00000Wj69eAAB,845433,4521816,0062x00000D8ERnAAN,0012x00000gAMDhAAO,5,0.0,Other,6,1200,5.714,Weekly,Loan Paid,0.0
128,0032x00000Wj61LAAR,5148366,4521434,0062x00000D8EC3AAN,0012x00000gAM5TAAW,4,0.0,Living Expenses,2,300,9.0,Monthly,Loan Paid,0.0
129,0032x00000Wj5QuAAJ,845539,4519994,0062x00000D8CxSAAV,0012x00000gALTIAA4,5,0.0,Short Term Loan,3,1000,5.571,Fortnightly,Loan Paid,0.0
130,0032x00000Wj4dHAAR,5148292,4518412,0062x00000D8B7BAAV,0012x00000gAKUtAAO,5,0.0,Medical Expenses,10,300,10.571,Weekly,Loan Paid,0.0
131,0032x00000Wj4DgAAJ,845183,4518066,0062x00000D8AqEAAV,0012x00000gAKGqAAO,5,0.0,Medical Expenses,3,500,4.857,Fortnightly,Loan Paid,0.0
132,0032x00000Wj47mAAB,845163,4521863,0062x00000D8EcGAAV,0012x00000gAKApAAO,6,0.0,Living Expenses,10,1200,9.714,Weekly,Loan Paid,0.0
133,0032x00000Wj44JAAR,5148343,4517589,0062x00000D8AGfAAN,0012x00000gAK7WAAW,4,0.0,Other,6,300,6.0,Weekly,Loan Paid,0.0
134,0032x00000Wj444AAB,5148313,4517587,0062x00000D8AGQAA3,0012x00000gAK7HAAW,5,0.0,Other,6,300,6.0,Weekly,Loan Paid,0.0
135,0032x00000Wj3taAAB,845071,4517372,0062x00000D89vYAAR,0012x00000gAJweAAG,4,0.0,Other,3,500,5.857,Fortnightly,Loan Paid,0.0
136,0032x00000Wj3tQAAR,847510,4517367,0062x00000D89wQAAR,0012x00000gAJwZAAW,4,0.0,Once off purchase,6,500,5.857,Weekly,Loan Paid,0.0
137,0032x00000Wj3pEAAR,845200,4517278,0062x00000D89lrAAB,0012x00000gAJswAAG,4,0.0,Living Expenses,3,500,5.0,Fortnightly,Loan Paid,0.0
138,0032x00000Wj3lgAAB,845096,4517224,0062x00000D89fUAAR,0012x00000gAJicAAG,4,0.0,Student Loan Repayment,3,1200,5.714,Fortnightly,Loan Paid,0.0
139,0032x00000Wj3fYAAR,845118,4517085,0062x00000D89RNAAZ,0012x00000gAJdcAAG,5,0.0,Vehicle Expenses,6,1000,5.857,Weekly,Loan Paid,0.0
140,0032x00000Wj3WMAAZ,845015,4516855,0062x00000D8931AAB,0012x00000gAJUlAAO,4,0.0,Child Expenses,6,500,5.857,Weekly,Loan Paid,0.0
141,0032x00000Wj3VnAAJ,845021,4516834,0062x00000D891AAAR,0012x00000gAJU7AAO,4,0.0,Vehicle Expenses,6,500,5.857,Weekly,Loan Paid,0.0
142,0032x00000Wj3PfAAJ,5148244,4516664,0062x00000D88mtAAB,0012x00000gAJNDAA4,4,0.0,Living Expenses,6,300,6.571,Weekly,Loan Paid,0.0
143,0032x00000Wj3HTAAZ,844884,4516465,0062x00000D88VJAAZ,0012x00000gAJGcAAO,4,0.0,Vehicle Expenses,6,800,5.857,Weekly,Loan Paid,0.0
144,0032x00000Wj3ALAAZ,844834,4516334,0062x00000D88JSAAZ,0012x00000gAJBoAAO,5,0.0,Vehicle - Registration,3,200,4.857,Fortnightly,Loan Paid,0.0
145,0032x00000Wj2xaAAB,5148210,4516029,0062x00000D87sqAAB,0012x00000gAJ0qAAG,4,0.0,Living Expenses,6,300,6.0,Weekly,Loan Paid,0.0
146,0032x00000Wj2r7AAB,849610,4562710,0062x00000D93k0AAB,0012x00000gAIuUAAW,4,0.0,Child Expenses,3,200,5.0,Fortnightly,Loan Paid,0.0
147,0032x00000Wj2nZAAR,844825,4515697,0062x00000D87RBAAZ,0012x00000gAIqgAAG,6,0.0,Event Tickets & Expenses,6,800,6.0,Weekly,Loan Paid,0.0
148,0032x00000Wj2mqAAB,849457,4561923,0062x00000D92WDAAZ,0012x00000gAIq2AAG,5,0.0,Medical Expenses,6,500,6.0,Weekly,Loan Paid,0.0
149,0032x00000Wj2ieAAB,5148212,4515542,0062x00000D87EmAAJ,0012x00000gAImIAAW,4,0.0,Vehicle Expenses,6,300,5.857,Weekly,Loan Paid,0.0
150,0032x00000Wj2UbAAJ,844734,4515116,0062x00000D86i1AAB,0012x00000gAIYuAAO,5,0.0,Living Expenses,3,500,5.857,Fortnightly,Loan Paid,0.0
151,0032x00000Wj2RIAAZ,5148228,4515009,0062x00000D86ZsAAJ,0012x00000gAIWRAA4,5,0.0,Living Expenses,3,200,5.857,Fortnightly,Loan Paid,0.0
