Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
980873,5617845,0062x00000E52eHAAR,0012x00000hXkbyAAC,8,5.0,Medical Expenses,10,2500,19.0,Fortnightly,Loan Paid,2873,2981,1,3
804882,4164421,0062x00000CkflhAAB,0010K000021F2DWQA0,12,8.0,Living Expenses,7,1600,12.571,Fortnightly,Loan Paid,593,235,1,3
912402,5105400,0062x00000DZexPAAT,0012800001SDU3DAAX,62,59.0,Vehicle Expenses,3,2000,5.857,Fortnightly,Loan Paid,1157,2620,6,3
990798,5863886,0062x00000ECEizAAH,0012800001SDTJgAAP,57,55.0,Veterinary Expenses,8,2050,14.714,Fortnightly,Loan Paid,1103,3105,6,3
832534,4408411,0062x00000D1k0tAAB,0012800001VofatAAB,50,47.0,Vehicle Expenses,7,1500,14.143,Fortnightly,Loan Paid,1284,1362,5,3
853230,4595560,0062x00000D9j1DAAR,0012800001VofatAAB,50,48.0,Home Maintenance & Repairs,7,1300,14.143,Fortnightly,Loan Paid,1284,1717,5,3
1011646,6277685,0062x00000EbDlxAAF,0012800001SDU9yAAH,49,47.0,Travel Expenses,10,1500,19.429,Fortnightly,Loan Paid,1195,3265,5,3
927036,5253618,0062x00000Dse1vAAB,0012800001SDU9yAAH,49,44.0,Furniture or Appliances,8,2050,15.857,Fortnightly,Loan Paid,1195,2820,4,3
854826,4607715,0062x00000D9zJPAAZ,0012800001SDU9yAAH,49,42.0,Vehicle Expenses,7,1900,13.857,Fortnightly,Loan Paid,1195,1763,4,3
925954,5244059,0062x00000DsUWAAA3,0012800001SDULPAA5,48,46.0,Travel Expenses,8,2050,15.0,Fortnightly,Loan Paid,1263,2802,5,3
834315,4423771,0062x00000D21Y1AAJ,0012800001MwUDDAA3,47,43.0,Travel Expenses,7,1900,14.0,Fortnightly,Loan Paid,1041,1390,4,3
931763,5321019,0062x00000DtVn0AAF,0012800001SDUE7AAP,47,45.0,Life Event Expenses,8,2050,15.714,Fortnightly,Loan Paid,1219,2876,5,3
881922,4815791,0062x00000DI5G1AAL,0012800001MwUDDAA3,47,44.0,Other Expenses,7,1900,13.429,Fortnightly,Loan Paid,1041,2111,5,3
947412,5551468,0062x00000E4E7wAAF,0010K00001feCQ6QAM,46,43.0,Life Event Expenses,7,1400,13.857,Fortnightly,Loan Paid,96,2940,5,3
899660,4977140,0062x00000DXVA8AAP,0010K00001feCQ6QAM,46,42.0,Living Expenses,7,1500,13.714,Fortnightly,Loan Paid,96,2462,4,3
843345,4502875,0062x00000D7r9XAAR,0010K00001feCQ6QAM,46,41.0,Medical Expenses,7,1600,14.143,Fortnightly,Loan Paid,96,1541,4,3
5161932,5227576,0062x00000DsD8XAAV,0010K0000242mNcQAI,45,43.0,Vehicle Expenses,7,2000,14.143,Fortnightly,Loan Paid,756,2780,5,3
924669,5228963,0062x00000DsF4DAAV,0012800001SDU4qAAH,44,43.0,Veterinary Expenses,8,2050,16.429,Fortnightly,Loan Paid,1166,2782,5,3
838009,4458375,0062x00000D6txCAAR,0012800001SDU1MAAX,43,39.0,Furniture or Appliances,7,1500,14.0,Fortnightly,Loan Paid,1145,1439,4,3
986923,5771378,0062x00000E6pbqAAB,0012800001SDU1MAAX,43,41.0,Furniture or Appliances,8,2050,15.857,Fortnightly,Loan Paid,1145,3057,4,3
917544,5155521,0062x00000DrGx9AAF,0012800001SDULMAA5,43,39.0,Medical Expenses,8,2050,15.857,Fortnightly,Loan Paid,1262,2697,4,3
893051,4912372,0062x00000DWNJcAAP,0012800001SDU1MAAX,43,40.0,Furniture or Appliances,5,1600,10.0,Fortnightly,Loan Paid,1145,2368,4,3
859923,4642287,0062x00000DAihRAAT,0012800001SDTBIAA5,43,38.0,Child Expenses,8,2050,15.0,Fortnightly,Loan Paid,1090,1820,4,3
1003836,6119515,0062x00000EMeeaAAD,0010K00001exDWJQA2,42,40.0,Living Expenses,8,2050,15.714,Fortnightly,Loan Paid,86,3222,4,3
