Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Applicant Age,userId,loanId,count,LoanIdFormat
924521.0,5227805.0,0062x00000DsDV2AAN,0010K00001c5scbQAA,26.0,23.0,Medical Expenses,6.0,2000.0,6.286,Weekly,Loan Paid,40.0,5947,3501,2.0,1
912267.0,5102655.0,0062x00000DZcUSAA1,0010K00001u2Fw0QAE,26.0,23.0,Travel Expenses,6.0,1800.0,6.143,Weekly,Loan Paid,53.0,4184,4010,2.0,1
902564.0,5008073.0,0062x00000DY12QAAT,0012800001IzG58AAF,27.0,23.0,Travel Expenses,8.0,1950.0,7.857,Weekly,Loan Paid,37.0,281,3382,1.0,1
893240.0,4916010.0,0062x00000DWQXWAA5,0012800001IzG3wAAF,25.0,23.0,Medical Expenses,10.0,1300.0,10.286,Weekly,Loan Paid,48.0,5718,4350,2.0,1
5156707.0,4909312.0,0062x00000DWJBTAA5,0012x000003F4iaAAC,26.0,22.0,Home Maintenance & Repairs,10.0,1800.0,10.0,Weekly,Loan Paid,46.0,1176,8181,1.0,1
5155498.0,4846844.0,0062x00000DIeLMAA1,0010K0000241K1jQAE,25.0,22.0,Home Maintenance & Repairs,11.0,1500.0,11.429,Weekly,Loan Paid,41.0,6645,2541,1.0,1
854734.0,4607002.0,0062x00000D9yYsAAJ,0010K00001b0I8rQAE,27.0,22.0,Veterinary Expenses,7.0,1750.0,7.857,Weekly,Loan Paid,54.0,4257,6623,1.0,1
5173688.0,6895299.0,0062x00000F1SA9AAN,0012x00000BFelXAAT,27.0,24.0,Vehicle Expenses,10.0,2050.0,9.714,Weekly,Loan Paid,52.0,564,3757,2.0,1
1034824.0,6713563.0,0062x00000Ey8qeAAB,0012x00000TJAZGAA5,10.0,7.0,Home Maintenance & Repairs,10.0,1500.0,10.286,Weekly,Loan Paid,34.0,6802,8978,1.0,1
5173688.0,6895299.0,0062x00000F1SA9AAN,0012x00000BFelXAAT,27.0,24.0,Vehicle Expenses,10.0,2050.0,9.714,Weekly,Loan Paid,52.0,564,3757,2.0,1
1034824.0,6713563.0,0062x00000Ey8qeAAB,0012x00000TJAZGAA5,10.0,7.0,Home Maintenance & Repairs,10.0,1500.0,10.286,Weekly,Loan Paid,34.0,6802,8978,1.0,1
891696.0,4898816.0,0062x00000DW9UQAA1,0012x00000Mjh6bAAB,8.0,5.0,Travel Expenses,10.0,1500.0,10.286,Weekly,Loan Paid,62.0,3169,8849,1.0,1
891709.0,4898016.0,0062x00000DW8NiAAL,0012800001SDUIgAAP,7.0,4.0,Holiday / Travel,10.0,2000.0,10.286,Weekly,Loan Paid,61.0,1653,4890,1.0,1
890086.0,4883256.0,0062x00000DJL4BAAX,0010K0000242KuEQAU,15.0,13.0,Travel Expenses,11.0,1350.0,10.857,Weekly,Loan Paid,60.0,5178,7541,1.0,1
897147.0,4954746.0,0062x00000DX6jNAAT,0012x00000BIuqeAAD,9.0,6.0,Medical - Procedure,11.0,1500.0,11.143,Weekly,Loan Paid,59.0,4290,4213,1.0,1
893107.0,4911839.0,0062x00000DWMTzAAP,0010K00001xORd0QAG,6.0,5.0,Vehicle Expenses,10.0,2000.0,9.857,Weekly,Loan Paid,58.0,6149,8,1.0,1
897593.0,4957444.0,0062x00000DXAIgAAP,0012x00000KL2d1AAD,16.0,9.0,Living Expenses,9.0,1500.0,9.0,Weekly,Loan Paid,57.0,2070,6322,1.0,1
888661.0,4873670.0,0062x00000DJ8xAAAT,0012x00000Gbc7BAAR,11.0,7.0,Vehicle Expenses,10.0,1300.0,10.143,Weekly,Loan Paid,57.0,1795,1694,1.0,1
996653.0,5959211.0,0062x00000EDheHAAT,0010K000023PalaQAC,12.0,10.0,Living Expenses,10.0,1500.0,9.857,Weekly,Loan Paid,27.0,1866,7837,1.0,1
996415.0,5939564.0,0062x00000EDMHwAAP,0012x00000BIMXZAA5,7.0,6.0,Other Expenses,10.0,2050.0,10.286,Weekly,Loan Paid,32.0,6057,2526,1.0,1
996196.0,5950548.0,0062x00000EDYJ0AAP,0012x00000G1uHlAAJ,14.0,10.0,Life Event Expenses,8.0,2500.0,9.143,Weekly,Loan Paid,54.0,754,587,1.0,1
995431.0,5940724.0,0062x00000EDNeXAAX,0012x00000MiUYJAA3,11.0,7.0,Home Maintenance & Repairs,9.0,2500.0,9.286,Weekly,Loan Paid,44.0,915,2159,1.0,1
994476.0,5925670.0,0062x00000ED9WNAA1,0012x00000NRVufAAH,28.0,24.0,Living Expenses,8.0,2050.0,9.429,Weekly,Loan Paid,31.0,728,1044,2.0,1
5173688.0,6895299.0,0062x00000F1SA9AAN,0012x00000BFelXAAT,27.0,24.0,Vehicle Expenses,10.0,2050.0,9.714,Weekly,Loan Paid,52.0,564,3757,2.0,1
1034824.0,6713563.0,0062x00000Ey8qeAAB,0012x00000TJAZGAA5,10.0,7.0,Home Maintenance & Repairs,10.0,1500.0,10.286,Weekly,Loan Paid,34.0,6802,8978,1.0,1
5173688.0,6895299.0,0062x00000F1SA9AAN,0012x00000BFelXAAT,27.0,24.0,Vehicle Expenses,10.0,2050.0,9.714,Weekly,Loan Paid,52.0,564,3757,2.0,1
1034824.0,6713563.0,0062x00000Ey8qeAAB,0012x00000TJAZGAA5,10.0,7.0,Home Maintenance & Repairs,10.0,1500.0,10.286,Weekly,Loan Paid,34.0,6802,8978,1.0,1
917153.0,5153322.0,0062x00000DrDtnAAF,0010K0000241pvnQAA,6.0,5.0,Other,6.0,2000.0,5.857,Weekly,Loan Paid,34.0,3155,3375,1.0,1
917170.0,5153482.0,0062x00000DrE6lAAF,0010K00001xiHUmQAM,6.0,4.0,Other,6.0,2000.0,5.857,Weekly,Loan Paid,49.0,5706,9189,1.0,1
897147.0,4954746.0,0062x00000DX6jNAAT,0012x00000BIuqeAAD,9.0,6.0,Medical - Procedure,11.0,1500.0,11.143,Weekly,Loan Paid,59.0,4290,4213,1.0,1
891709.0,4898016.0,0062x00000DW8NiAAL,0012800001SDUIgAAP,7.0,4.0,Holiday / Travel,10.0,2000.0,10.286,Weekly,Loan Paid,61.0,1653,4890,1.0,1
856713.0,4621189.0,0062x00000DAFs6AAH,0010K000020JLv9QAG,7.0,5.0,Furniture or Appliances,10.0,2050.0,10.571,Weekly,Loan Paid,46.0,3924,9637,1.0,1
779130.0,3922596.0,0062x00000CT6HAAA1,0012x00000SFzbRAAT,6.0,4.0,Travel Expenses,11.0,2000.0,11.143,Weekly,Loan Paid,20.0,1129,9260,1.0,1
815981.0,4277029.0,0062x00000CzNDtAAN,0010K00001b0I8rQAE,27.0,21.0,Home Maintenance & Repairs,7.0,1750.0,6.857,Weekly,Loan Paid,54.0,4257,802,1.0,1
774312.0,3882310.0,0062x00000CSFiBAAX,0010K00001b0I8rQAE,27.0,20.0,Living Expenses,7.0,1700.0,6.857,Weekly,Loan Paid,54.0,4257,7996,1.0,1
917086.0,5147774.0,0062x00000Dr7o6AAB,0012x00000IMHksAAH,8.0,6.0,Vehicle Expenses,10.0,2050.0,19.143,Fortnightly,Loan Paid,40.0,1988,540,1.0,2
908169.0,5061612.0,0062x00000DYwSGAA1,0012x00000SIDYKAA5,10.0,5.0,Vehicle Expenses,8.0,2050.0,16.0,Fortnightly,Loan Paid,27.0,4232,3880,0.0,2
980873.0,5617845.0,0062x00000E52eHAAR,0012x00000hXkbyAAC,8.0,5.0,Medical Expenses,10.0,2500.0,19.0,Fortnightly,Loan Paid,22.0,686,216,1.0,2
912402.0,5105400.0,0062x00000DZexPAAT,0012800001SDU3DAAX,62.0,59.0,Vehicle Expenses,3.0,2000.0,5.857,Fortnightly,Loan Paid,50.0,430,7955,5.0,2
990798.0,5863886.0,0062x00000ECEizAAH,0012800001SDTJgAAP,58.0,55.0,Veterinary Expenses,8.0,2050.0,14.714,Fortnightly,Loan Paid,40.0,6890,1072,5.0,2
853230.0,4595560.0,0062x00000D9j1DAAR,0012800001VofatAAB,50.0,48.0,Home Maintenance & Repairs,7.0,1300.0,14.143,Fortnightly,Loan Paid,35.0,4586,8284,4.0,2
1011646.0,6277685.0,0062x00000EbDlxAAF,0012800001SDU9yAAH,50.0,47.0,Travel Expenses,10.0,1500.0,19.429,Fortnightly,Loan Paid,51.0,1486,7967,4.0,2
925954.0,5244059.0,0062x00000DsUWAAA3,0012800001SDULPAA5,48.0,46.0,Travel Expenses,8.0,2050.0,15.0,Fortnightly,Loan Paid,41.0,3364,7309,4.0,2
931763.0,5321019.0,0062x00000DtVn0AAF,0012800001SDUE7AAP,48.0,45.0,Life Event Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,62.0,1555,5073,4.0,2
927036.0,5253618.0,0062x00000Dse1vAAB,0012800001SDU9yAAH,50.0,44.0,Furniture or Appliances,8.0,2050.0,15.857,Fortnightly,Loan Paid,51.0,1486,3102,3.0,2
881922.0,4815791.0,0062x00000DI5G1AAL,0012800001MwUDDAA3,47.0,44.0,Other Expenses,7.0,1900.0,13.429,Fortnightly,Loan Paid,64.0,1473,1549,4.0,2
947412.0,5551468.0,0062x00000E4E7wAAF,0010K00001feCQ6QAM,46.0,43.0,Life Event Expenses,7.0,1400.0,13.857,Fortnightly,Loan Paid,25.0,3877,4038,4.0,2
5161932.0,5227576.0,0062x00000DsD8XAAV,0010K0000242mNcQAI,45.0,43.0,Vehicle Expenses,7.0,2000.0,14.143,Fortnightly,Loan Paid,56.0,6611,1319,4.0,2
924669.0,5228963.0,0062x00000DsF4DAAV,0012800001SDU4qAAH,44.0,43.0,Veterinary Expenses,8.0,2050.0,16.429,Fortnightly,Loan Paid,44.0,5045,7292,4.0,2
854826.0,4607715.0,0062x00000D9zJPAAZ,0012800001SDU9yAAH,50.0,42.0,Vehicle Expenses,7.0,1900.0,13.857,Fortnightly,Loan Paid,51.0,1486,357,3.0,2
899660.0,4977140.0,0062x00000DXVA8AAP,0010K00001feCQ6QAM,46.0,42.0,Living Expenses,7.0,1500.0,13.714,Fortnightly,Loan Paid,25.0,3877,498,3.0,2
986923.0,5771378.0,0062x00000E6pbqAAB,0012800001SDU1MAAX,43.0,41.0,Furniture or Appliances,8.0,2050.0,15.857,Fortnightly,Loan Paid,51.0,3145,5518,3.0,2
867748.0,4699668.0,0062x00000DG2QXAA1,0010K00001y2gvTQAQ,42.0,40.0,Vehicle Expenses,8.0,1300.0,15.0,Fortnightly,Loan Paid,66.0,847,4151,3.0,2
1003836.0,6119515.0,0062x00000EMeeaAAD,0010K00001exDWJQA2,42.0,40.0,Living Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,51.0,7021,9019,3.0,2
933474.0,5344940.0,0062x00000DtlB7AAJ,0012800001SDU2aAAH,42.0,40.0,Travel Expenses,8.0,2050.0,15.429,Fortnightly,Loan Paid,47.0,4963,8124,3.0,2
893051.0,4912372.0,0062x00000DWNJcAAP,0012800001SDU1MAAX,43.0,40.0,Furniture or Appliances,5.0,1600.0,10.0,Fortnightly,Loan Paid,51.0,3145,2292,3.0,2
947979.0,5555606.0,0062x00000E4IQcAAN,0010K00001us6epQAA,42.0,39.0,Home Maintenance & Repairs,8.0,2500.0,14.857,Fortnightly,Loan Paid,44.0,771,9216,3.0,2
917544.0,5155521.0,0062x00000DrGx9AAF,0012800001SDULMAA5,43.0,39.0,Medical Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,31.0,7073,4306,3.0,2
908960.0,5069349.0,0062x00000DZ3mhAAD,0010K00001exDWJQA2,42.0,39.0,Living Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,51.0,7021,2815,3.0,2
890319.0,4885729.0,0062x00000DJM9aAAH,0012800001IzG9WAAV,41.0,39.0,Home Maintenance & Repairs,10.0,2050.0,18.714,Fortnightly,Loan Paid,56.0,7207,8824,3.0,2
5166358.0,5698456.0,0062x00000E5zrGAAR,0010K000023zuGeQAI,40.0,38.0,Medical Expenses,10.0,2050.0,19.857,Fortnightly,Loan Paid,38.0,6173,8260,3.0,2
916157.0,5142455.0,0062x00000Dr2XtAAJ,0012800001SDU3aAAH,42.0,38.0,Travel Expenses,8.0,2050.0,16.143,Fortnightly,Loan Paid,51.0,4955,7069,3.0,2
884050.0,4833402.0,0062x00000DIQWOAA5,0010K00001us6epQAA,42.0,38.0,Home Maintenance & Repairs,8.0,2050.0,15.857,Fortnightly,Loan Paid,44.0,771,1795,3.0,2
859923.0,4642287.0,0062x00000DAihRAAT,0012800001SDTBIAA5,44.0,38.0,Child Expenses,8.0,2050.0,15.0,Fortnightly,Loan Paid,33.0,2246,8153,3.0,2
993437.0,5909325.0,0062x00000ECwWOAA1,0012800001FzWTjAAN,42.0,37.0,Living Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,33.0,4641,3205,3.0,2
981023.0,5620118.0,0062x00000E556eAAB,0012800001SDTJkAAP,40.0,37.0,Vehicle Expenses,10.0,2500.0,20.0,Fortnightly,Loan Paid,44.0,3421,6376,3.0,2
933954.0,5352465.0,0062x00000DtqwkAAB,0012800001SDU5EAAX,41.0,37.0,Travel Expenses,10.0,2050.0,19.571,Fortnightly,Loan Paid,60.0,4168,5326,3.0,2
5160765.0,5152779.0,0062x00000DrDPOAA3,0010K000023zuGeQAI,40.0,37.0,Home Maintenance & Repairs,7.0,1500.0,13.857,Fortnightly,Loan Paid,38.0,6173,2989,3.0,2
902526.0,5007385.0,0062x00000DY0XDAA1,0012800001SDUCEAA5,40.0,37.0,Vehicle Expenses,3.0,1900.0,6.0,Fortnightly,Loan Paid,33.0,2973,7590,3.0,2
873372.0,4745002.0,0062x00000DGpHcAAL,0012800001SDU3aAAH,42.0,37.0,Life Event Expenses,7.0,1300.0,13.857,Fortnightly,Loan Paid,51.0,4955,8748,3.0,2
5166264.0,5677105.0,0062x00000E5jyIAAR,0010K000023NWslQAG,39.0,36.0,Furniture or Appliances,8.0,2050.0,16.0,Fortnightly,Loan Paid,47.0,7328,191,3.0,2
923243.0,5210895.0,0062x00000DryX1AAJ,0010K00001sDNHOQA4,38.0,36.0,Life Event Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,38.0,883,9423,3.0,2
918205.0,5161774.0,0062x00000DrMvPAAV,0012800001SDTzAAAX,38.0,36.0,Travel Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,56.0,7033,4413,3.0,2
916916.0,5149463.0,0062x00000DrASbAAN,0010K00001iSWa0QAG,38.0,36.0,Travel Expenses,8.0,2100.0,16.0,Fortnightly,Loan Paid,51.0,3624,5051,3.0,2
911439.0,5095223.0,0062x00000DZUQ8AAP,0012800001SDUHkAAP,38.0,36.0,Veterinary Expenses,8.0,2050.0,16.143,Fortnightly,Loan Paid,37.0,1883,3842,3.0,2
907436.0,5055573.0,0062x00000DYqHbAAL,0012800001FzWTjAAN,42.0,36.0,Living Expenses,8.0,2050.0,15.0,Fortnightly,Loan Paid,33.0,4641,4371,3.0,2
897976.0,4961748.0,0062x00000DXEMQAA5,0010K00001g8QO0QAM,39.0,36.0,Vehicle Expenses,8.0,2050.0,14.857,Fortnightly,Loan Paid,33.0,2560,1775,3.0,2
883689.0,4828882.0,0062x00000DILzMAAX,0012800001SDU5EAAX,41.0,36.0,Travel Expenses,8.0,2300.0,16.143,Fortnightly,Loan Paid,60.0,4168,9615,3.0,2
5155057.0,4820252.0,0062x00000DIAZcAAP,0012x000002bt3bAAA,38.0,36.0,Furniture or Appliances,10.0,2050.0,19.857,Fortnightly,Loan Paid,41.0,3715,2690,3.0,2
854162.0,4601012.0,0062x00000D9pw9AAB,0012800001SDTzAAAX,38.0,35.0,Travel Expenses,8.0,2050.0,16.143,Fortnightly,Loan Paid,56.0,7033,1978,3.0,2
1004366.0,6130784.0,0062x00000EMmtxAAD,0010K00001eHeiyQAC,36.0,35.0,Life Event Expenses,8.0,2050.0,15.429,Fortnightly,Loan Paid,30.0,1521,2968,3.0,2
5166037.0,5626813.0,0062x00000E58b1AAB,0010K000027yifnQAA,39.0,35.0,Travel Expenses,8.0,2050.0,16.0,Fortnightly,Loan Paid,60.0,6023,5867,3.0,2
5162803.0,5310612.0,0062x00000DtNjlAAF,0010K000023NWslQAG,39.0,35.0,Furniture or Appliances,3.0,2000.0,4.857,Fortnightly,Loan Paid,47.0,7328,7264,3.0,2
911445.0,5095217.0,0062x00000DZUPjAAP,0010K00001cQNfLQAW,36.0,35.0,Living Expenses,8.0,2050.0,15.286,Fortnightly,Loan Paid,32.0,5210,8041,3.0,2
892665.0,4907460.0,0062x00000DWHo7AAH,0012800001SDUFyAAP,38.0,35.0,Travel Expenses,10.0,2050.0,21.857,Fortnightly,Loan Paid,49.0,4394,5016,3.0,2
887880.0,4867560.0,0062x00000DJ1zlAAD,0012800001YInZqAAL,39.0,35.0,Home Maintenance & Repairs,8.0,2050.0,15.143,Fortnightly,Loan Paid,52.0,1878,8403,3.0,2
5170020.0,6295967.0,0062x00000EbXJuAAN,0010K000021EWPRQA4,37.0,34.0,Furniture or Appliances,8.0,2050.0,16.0,Fortnightly,Loan Paid,52.0,5342,2286,3.0,2
5169041.0,6125132.0,0062x00000EMiO8AAL,0010K000021FJ4aQAG,36.0,34.0,Home Maintenance & Repairs,8.0,2050.0,15.571,Fortnightly,Loan Paid,50.0,3362,5359,3.0,2
1001012.0,6055477.0,0062x00000ELfCXAA1,0010K00001igdWwQAI,37.0,34.0,Vehicle Expenses,8.0,2350.0,15.571,Fortnightly,Loan Paid,43.0,5937,8988,3.0,2
5166248.0,5674432.0,0062x00000E5go2AAB,0010K00002BRCZNQA5,36.0,34.0,Child Expenses,8.0,2050.0,15.0,Fortnightly,Loan Paid,45.0,2960,9016,3.0,2
982796.0,5664192.0,0062x00000E5ZtqAAF,0010K00001g9eOJQAY,36.0,34.0,Living Expenses,8.0,2050.0,16.286,Fortnightly,Loan Paid,44.0,5224,3621,3.0,2
946130.0,5531492.0,0062x00000E3zYtAAJ,0010K00001eHeiyQAC,36.0,34.0,Medical Expenses,8.0,2500.0,16.143,Fortnightly,Loan Paid,30.0,1521,2367,3.0,2
926693.0,5251753.0,0062x00000Dsbj7AAB,0010K00001eI5SvQAK,37.0,34.0,Travel Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,30.0,245,3119,3.0,2
921802.0,5195361.0,0062x00000Dron7AAB,0010K00001bYTRxQAO,36.0,34.0,Veterinary Expenses,10.0,2050.0,22.0,Fortnightly,Loan Paid,32.0,5050,9309,3.0,2
910380.0,5085855.0,0062x00000DZIucAAH,0012800001Z3vFDAAZ,40.0,34.0,Furniture or Appliances,8.0,2050.0,16.429,Fortnightly,Loan Paid,31.0,3697,497,2.0,2
5158506.0,5010123.0,0062x00000DY3FDAA1,0010K000023NWslQAG,39.0,34.0,Furniture or Appliances,3.0,2000.0,4.857,Fortnightly,Loan Paid,47.0,7328,8034,2.0,2
898330.0,4963934.0,0062x00000DXHNBAA5,0012800001SDUJrAAP,37.0,34.0,Furniture or Appliances,8.0,2050.0,15.857,Fortnightly,Loan Paid,56.0,2964,7269,3.0,2
5156932.0,4919519.0,0062x00000DWVD2AAP,0010K000023QY4PQAW,38.0,34.0,Living Expenses,8.0,2050.0,16.143,Fortnightly,Loan Paid,47.0,2899,4268,3.0,2
5156918.0,4918658.0,0062x00000DWTkxAAH,0010K000027yifnQAA,39.0,34.0,Travel Expenses,8.0,2050.0,16.143,Fortnightly,Loan Paid,60.0,6023,7897,2.0,2
891043.0,4892966.0,0062x00000DW2ahAAD,0012800001WagsMAAR,41.0,34.0,Furniture or Appliances,5.0,2000.0,9.571,Fortnightly,Loan Paid,41.0,4287,5848,2.0,2
876342.0,4767827.0,0062x00000DHDhjAAH,0012800001SDUCjAAP,38.0,34.0,Home Maintenance & Repairs,6.0,1700.0,11.429,Fortnightly,Loan Paid,52.0,2778,3385,3.0,2
869754.0,4714851.0,0062x00000DGI4BAAX,0012800001WagsMAAR,41.0,34.0,Travel Expenses,8.0,2050.0,15.571,Fortnightly,Loan Paid,41.0,4287,3969,2.0,2
1003008.0,6097594.0,0062x00000EMMjIAAX,0012800001SDUJhAAP,35.0,33.0,Vehicle Expenses,10.0,2050.0,18.857,Fortnightly,Loan Paid,63.0,1240,8013,3.0,2
993877.0,5913328.0,0062x00000ED1c7AAD,0012800001SDU2YAAX,35.0,33.0,Life Event Expenses,8.0,2100.0,15.857,Fortnightly,Loan Paid,33.0,4721,3004,3.0,2
5166481.0,5721328.0,0062x00000E6EGRAA3,0010K000021FJ4aQAG,36.0,33.0,Furniture or Appliances,7.0,2050.0,13.571,Fortnightly,Loan Paid,50.0,3362,3210,3.0,2
981996.0,5646499.0,0062x00000E5Lo9AAF,0010K00001doTFnQAM,36.0,33.0,Vehicle Expenses,11.0,2050.0,20.714,Fortnightly,Loan Paid,56.0,2286,8197,3.0,2
979027.0,5579713.0,0062x00000E4W9VAAV,0010K00001iKMxNQAW,35.0,33.0,Travel Expenses,8.0,2050.0,15.143,Fortnightly,Loan Paid,34.0,2349,2860,3.0,2
5165815.0,5575934.0,0062x00000E4TtVAAV,0010K000023Pl83QAC,37.0,33.0,Furniture or Appliances,11.0,2050.0,22.571,Fortnightly,Loan Paid,42.0,4972,2365,2.0,2
946215.0,5527378.0,0062x00000E3v5vAAB,0012800001SDUHWAA5,35.0,33.0,Medical Expenses,8.0,2050.0,15.286,Fortnightly,Loan Paid,62.0,2683,5628,3.0,2
942876.0,5474768.0,0062x00000DVkm7AAD,0010K00001igdWwQAI,37.0,33.0,Medical Expenses,8.0,2400.0,15.857,Fortnightly,Loan Paid,43.0,5937,3872,2.0,2
937060.0,5399607.0,0062x00000DUtQGAA1,0010K00001cODKAQA4,35.0,33.0,Home Maintenance & Repairs,8.0,2050.0,14.857,Fortnightly,Loan Paid,50.0,5153,2470,3.0,2
930177.0,5296973.0,0062x00000DtDCTAA3,0012800001IYgiYAAT,36.0,33.0,Travel Expenses,8.0,2100.0,16.0,Fortnightly,Loan Paid,44.0,1956,4855,3.0,2
929663.0,5285550.0,0062x00000Dt55lAAB,0010K00001fdS9HQAU,35.0,33.0,Home Maintenance & Repairs,8.0,2050.0,16.143,Fortnightly,Loan Paid,50.0,4592,4353,3.0,2
926123.0,5245041.0,0062x00000DsVm4AAF,0012800001SDTyxAAH,35.0,33.0,Home Maintenance & Repairs,8.0,2050.0,16.143,Fortnightly,Loan Paid,45.0,3794,6338,3.0,2
917725.0,5156255.0,0062x00000DrIIrAAN,0010K00001g9eOJQAY,36.0,33.0,Travel Expenses,8.0,2000.0,15.857,Fortnightly,Loan Paid,44.0,5224,3425,3.0,2
5156400.0,4892448.0,0062x00000DW29MAAT,0010K000023NWslQAG,39.0,33.0,Furniture or Appliances,3.0,1400.0,5.429,Fortnightly,Loan Paid,47.0,7328,6216,2.0,2
873751.0,4746419.0,0062x00000DGqwHAAT,0010K00001eHeiyQAC,36.0,33.0,Travel Expenses,8.0,2050.0,14.857,Fortnightly,Loan Paid,30.0,1521,2566,3.0,2
5166800.0,5823757.0,0062x00000E7TCBAA3,0012x000002aiNRAAY,34.0,32.0,Vehicle Expenses,8.0,2050.0,15.429,Fortnightly,Loan Paid,49.0,6690,8812,3.0,2
981150.0,5627432.0,0062x00000E59LsAAJ,0012800001SDTvIAAX,34.0,32.0,Vehicle Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,52.0,6277,2120,3.0,2
5164075.0,5410634.0,0062x00000DV1xIAAT,0012x000005S4JMAA0,38.0,32.0,Vehicle Expenses,10.0,2050.0,19.714,Fortnightly,Loan Paid,37.0,4366,2983,2.0,2
915509.0,5130926.0,0062x00000Da2IzAAJ,0012800001IzG3tAAF,34.0,32.0,Furniture or Appliances,10.0,2050.0,19.143,Fortnightly,Loan Paid,43.0,3660,9553,3.0,2
911419.0,5095128.0,0062x00000DZUHgAAP,0010K00001cQzYyQAK,35.0,32.0,Vehicle Expenses,3.0,2000.0,6.0,Fortnightly,Loan Paid,51.0,5398,1406,2.0,2
904114.0,5022767.0,0062x00000DYGcnAAH,0010K00001igdWwQAI,37.0,32.0,Travel Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,43.0,5937,2416,2.0,2
894782.0,4927282.0,0062x00000DWeLtAAL,0012800001SDU2YAAX,35.0,32.0,Medical Expenses,8.0,2500.0,15.857,Fortnightly,Loan Paid,33.0,4721,3196,2.0,2
891408.0,4896678.0,0062x00000DW6U3AAL,0012800001LfLRRAA3,35.0,32.0,Living Expenses,8.0,2100.0,15.714,Fortnightly,Loan Paid,46.0,896,1615,2.0,2
